address_or_intersection,asset_name,asset_status,asset_type,availability_confidence,availability_status,caveat,confidence_level,exact_impressions_confirmed,exact_price_confirmed,family_anchor_proximity,hgl_relevance_score,impressions_status,last_observed_date,media_format,ooh_asset_id,operator_if_known,preschool_school_proximity,pricing_status,recommended_use,retrieval_date,source_name,source_url,static_or_digital,transit_proximity,vendor_owner,verification_needed,zipcode,longitude,latitude
279 EAST 44 STREET,mn-06-136611,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0528,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.971534,40.751296
34 NORTH 7TH STREET,bk-01-160097,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0529,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.9625389,40.7207489
23 EAST 51 STREET,mn-05-121959,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0530,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.975341,40.758633
553 GRAND STREET,mn-03-123340,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0531,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.980202,40.713961
208 1 AVENUE,mn-03-107898,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0532,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.983193,40.7303
200 EAST 51 STREET,mn-06-121831,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0533,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.970143,40.756326
301 WEST 30 STREET,mn-04-108137,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0534,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.995525,40.749827
5 ST. JAMES PLACE,mn-03-137407,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0535,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.000384,40.710955
185 BERRY STREET,bk-01-146001,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0536,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.960841,40.71685
401 EAST 48 STREET,mn-06-121671,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0537,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.966729,40.752549
151 EAST 31 STREET,mn-06-121505,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0538,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.979655,40.74395
164 EAST 37 STREET,mn-06-138165,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0539,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.976965,40.747672
29 SOUTH 3 STREET,bk-01-145995,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0540,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.96693,40.713914
322 7 AVENUE,mn-05-133687,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0541,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.993363,40.747419
831 6 AVENUE,mn-05-134444,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0542,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.990241,40.746619
131 EAST 27 STREET,mn-05-108040,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0543,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.983048,40.742139
2 ALLEN STREET,mn-03-122246,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0544,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.99249,40.714508
660 3 AVENUE,mn-06-121362,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0545,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.974467,40.75096
346 8 AVENUE,mn-05-137326,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0546,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.996434,40.747905
86 9 AVENUE,mn-04-123521,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0547,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.004363,40.742125
241 MADISON AVENUE,mn-06-133818,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0548,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.981236,40.749982
685 3 AVENUE,mn-06-121535,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0549,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.973765,40.751497
281 11 AVENUE,mn-04-140298,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0550,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.004756,40.752198
578 3 AVENUE,mn-06-121521,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0551,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.976344,40.748383
430 7 AVENUE,mn-05-122446,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0552,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.99113,40.750488
775 6 AVENUE,mn-05-136609,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0553,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.991472,40.744933
705 2 AVENUE,mn-06-121426,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0554,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.974241,40.747251
141 EAST 44 STREET,mn-06-138038,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0555,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.974717,40.752636
795 6 AVENUE,mn-05-107739,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0556,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.991002,40.745578
678 8 AVENUE,mn-05-121354,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0557,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.989252,40.757753
300 EAST 52 STREET,mn-06-121787,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0558,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.967467,40.756018
150 EAST 4 STREET,mn-03-123294,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0559,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.987039,40.725004
488 MADISON AVENUE,mn-05-134122,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0560,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.975143,40.758649
451 3 AVENUE,mn-06-133465,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0561,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.979316,40.743876
251 EAST 49 STREET,mn-06-121794,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0562,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.969184,40.754392
241 11 AVENUE,mn-04-140360,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0563,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.005816,40.750746
362 8 AVENUE,mn-05-122680,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0564,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.996012,40.748482
300 MADISON AVENUE,mn-05-133538,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0565,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.979738,40.752335
245 EAST 23 STREET,mn-06-121457,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0566,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.981055,40.738052
